"Date (YYYY-MM-DD)","Start Time (Local)","End Time (Local)","Target/Object Name","Object Type","Catalog #","Exposure Time per Sub (seconds)","Number of Subs / Total Integration Time","Filter Used","Gain / ISO","RA","DEC","TELESCOP","FITS File Path","Notes / Issues"
"2026-03-26","00:58:52","02:33:59","M 81","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 81","10","789 / 7890","IRCUT","200","149.712495","68.784444","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 81_sub/Light_M 81_10.0s_IRCUT_20260325-205912.fit","394 files grouped | Gap ≤ 30 min"
"2026-03-27","00:48:02","02:17:05","M 42","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 42","10","720 / 7200","LP","200","84.15834","-5.367222","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 42_sub/Light_M 42_10.0s_LP_20260326-204821.fit","361 files grouped | Gap ≤ 30 min"
"2026-03-29","00:48:33","02:44:39","M 45","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 45","10","984 / 9840","IRCUT","200","57.14166","24.198333","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 45_sub/Light_M 45_10.0s_IRCUT_20260328-204852.fit","493 files grouped | Gap ≤ 30 min"
"2026-04-01","00:41:09","02:43:44","M 1","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 1","10","1024 / 10240","LP","200","84.054165","22.005278","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 1_sub/Light_M 1_10.0s_LP_20260331-204129.fit","513 files grouped | Gap ≤ 30 min"
"2026-04-07","00:37:00","02:01:07","IC 434","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","IC 434","10","720 / 7200","LP","200","85.60833","-2.491667","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/IC 434_sub/Light_IC 434_10.0s_LP_20260406-203719.fit","361 files grouped | Gap ≤ 30 min"
"2026-04-08","00:43:09","02:23:59","M 44","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 44","10","798 / 7980","IRCUT","200","130.487505","19.615556","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 44_sub/Light_M 44_10.0s_IRCUT_20260407-204328.fit","400 files grouped | Gap ≤ 30 min"
"2026-04-09","00:47:40","02:48:54","M 82","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 82","10","990 / 9900","IRCUT","200","149.529165","69.559444","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 82_sub/Light_M 82_10.0s_IRCUT_20260408-204800.fit","496 files grouped | Gap ≤ 30 min"
"2026-04-15","00:44:53","03:46:10","M 101","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 101","10","1482 / 14820","IRCUT","200","211.849995","54.267222","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 101_sub/Light_M 101_10.0s_IRCUT_20260414-204513.fit","743 files grouped | Gap ≤ 30 min"
"2026-04-18","00:55:57","03:14:29","M 51","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 51","10","1206 / 12060","IRCUT","200","202.75416","47.008333","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 51_sub/Light_M 51_10.0s_IRCUT_20260417-205617.fit","604 files grouped | Gap ≤ 30 min"
"2026-04-20","00:48:08","03:18:24","NGC 4438","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","NGC 4438","10","1304 / 13040","IRCUT","200","187.27917","12.856111","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/NGC 4438_sub/Light_NGC 4438_10.0s_IRCUT_20260419-204827.fit","653 files grouped | Gap ≤ 30 min"
"2026-03-26","00:58:52","02:33:59","M 81","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 81","10","789 / 7890","IRCUT","200","149.712495","68.784444","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 81_sub/Light_M 81_10.0s_IRCUT_20260325-205912.fit","394 files grouped | Gap ≤ 30 min"
"2026-03-27","00:48:02","02:17:05","M 42","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 42","10","720 / 7200","LP","200","84.15834","-5.367222","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 42_sub/Light_M 42_10.0s_LP_20260326-204821.fit","361 files grouped | Gap ≤ 30 min"
"2026-03-29","00:48:33","02:44:39","M 45","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 45","10","984 / 9840","IRCUT","200","57.14166","24.198333","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 45_sub/Light_M 45_10.0s_IRCUT_20260328-204852.fit","493 files grouped | Gap ≤ 30 min"
"2026-04-01","00:41:09","02:43:44","M 1","DSO / Nebula / Galaxy / Star Cluster / Planet / Moon / Other","M 1","10","1024 / 10240","LP","200","84.054165","22.005278","S30 Pro_eb7128d0","C:/Users/tcgar/Astro/Astrophoto/stacks/M 1_sub/Light_M 1_10.0s_LP_20260331-204129.fit","513 files grouped | Gap ≤ 30 min"
